sku_name,brand,manufacturer,flavor,strength_mg,pouches_per_can,format,status,fda_status_raw,tobacco_free,synthetic_nicotine,verified_source
on! Autumn Spice 2mg,on! PLUS,Helix Innovations LLC (Altria),Autumn Spice,2,,,authorized,FDA Authorized (PMTA),true,false,"FDA authorized nicotine pouch list, current as of 2026-08-21 (Helix Innovations LLC, on! nicotine pouches 2 mg & 4 mg). Tobacco-leaf-free per onnicotine.com. Pouches per can and format left blank: FDA does not state them, on!'s own site did not load, and only one retailer source was found. Verified 2026-09-04."
on! Autumn Spice 4mg,on! PLUS,Helix Innovations LLC (Altria),Autumn Spice,4,,,authorized,FDA Authorized (PMTA),true,false,"FDA authorized nicotine pouch list, current as of 2026-08-21 (Helix Innovations LLC, on! nicotine pouches 2 mg & 4 mg). Tobacco-leaf-free per onnicotine.com. Pouches per can and format left blank: FDA does not state them, on!'s own site did not load, and only one retailer source was found. Verified 2026-09-04."
on! Cappuccino 2mg,on! PLUS,Helix Innovations LLC (Altria),Cappuccino,2,,,authorized,FDA Authorized (PMTA),true,false,"FDA authorized nicotine pouch list, current as of 2026-08-21 (Helix Innovations LLC, on! nicotine pouches 2 mg & 4 mg). Tobacco-leaf-free per onnicotine.com. Pouches per can and format left blank: FDA does not state them, on!'s own site did not load, and only one retailer source was found. Verified 2026-09-04."
on! Cappuccino 4mg,on! PLUS,Helix Innovations LLC (Altria),Cappuccino,4,,,authorized,FDA Authorized (PMTA),true,false,"FDA authorized nicotine pouch list, current as of 2026-08-21 (Helix Innovations LLC, on! nicotine pouches 2 mg & 4 mg). Tobacco-leaf-free per onnicotine.com. Pouches per can and format left blank: FDA does not state them, on!'s own site did not load, and only one retailer source was found. Verified 2026-09-04."
on! PLUS Mint 6mg,on! PLUS,Helix Innovations (Altria),Mint,6,20,Mini,authorized,"FDA Authorized (Dec 2025, PMTA Pilot)",true,false,"FDA Marketing Granted Order Dec 19, 2025"
on! PLUS Mint 9mg,on! PLUS,Helix Innovations (Altria),Mint,9,20,Mini,authorized,"FDA Authorized (Dec 2025, PMTA Pilot)",true,false,"FDA Marketing Granted Order Dec 19, 2025"
on! PLUS Tobacco 6mg,on! PLUS,Helix Innovations (Altria),Tobacco,6,20,Mini,authorized,"FDA Authorized (Dec 2025, PMTA Pilot)",true,false,"FDA Marketing Granted Order Dec 19, 2025"
on! PLUS Tobacco 9mg,on! PLUS,Helix Innovations (Altria),Tobacco,9,20,Mini,authorized,"FDA Authorized (Dec 2025, PMTA Pilot)",true,false,"FDA Marketing Granted Order Dec 19, 2025"
on! PLUS Wintergreen 6mg,on! PLUS,Helix Innovations (Altria),Wintergreen,6,20,Mini,authorized,"FDA Authorized (Dec 2025, PMTA Pilot)",true,false,"FDA Marketing Granted Order Dec 19, 2025"
on! PLUS Wintergreen 9mg,on! PLUS,Helix Innovations (Altria),Wintergreen,9,20,Mini,authorized,"FDA Authorized (Dec 2025, PMTA Pilot)",true,false,"FDA Marketing Granted Order Dec 19, 2025"
on! Rich Berry 2mg,on! PLUS,Helix Innovations LLC (Altria),Rich Berry,2,,,authorized,FDA Authorized (PMTA),true,false,"FDA authorized nicotine pouch list, current as of 2026-08-21 (Helix Innovations LLC, on! nicotine pouches 2 mg & 4 mg). Tobacco-leaf-free per onnicotine.com. Pouches per can and format left blank: FDA does not state them, on!'s own site did not load, and only one retailer source was found. Verified 2026-09-04."
on! Rich Berry 4mg,on! PLUS,Helix Innovations LLC (Altria),Rich Berry,4,,,authorized,FDA Authorized (PMTA),true,false,"FDA authorized nicotine pouch list, current as of 2026-08-21 (Helix Innovations LLC, on! nicotine pouches 2 mg & 4 mg). Tobacco-leaf-free per onnicotine.com. Pouches per can and format left blank: FDA does not state them, on!'s own site did not load, and only one retailer source was found. Verified 2026-09-04."
Rogue Apple 3mg,Rogue,"Rogue Holdings, LLC (Swisher International)",Apple,3,20,Slim,pending,PMTA Submitted (Not Authorized as of August 2026),true,false,https://www.roguenicotine.com/products/pouches/nicotine-pouches-5-pack-apple
Rogue Apple 6mg,Rogue,"Rogue Holdings, LLC (Swisher International)",Apple,6,20,Slim,pending,PMTA Submitted (Not Authorized as of August 2026),true,false,https://www.roguenicotine.com/products/pouches/nicotine-pouches-5-pack-apple
Rogue Honey Lemon 3mg,Rogue,"Rogue Holdings, LLC (Swisher International)",Honey Lemon,3,20,Slim,pending,PMTA Submitted (Not Authorized as of May 2026),true,false,https://www.roguenicotine.com/products/pouches/nicotine-pouches-5-pack-honey-lemon
Rogue Honey Lemon 6mg,Rogue,"Rogue Holdings, LLC (Swisher International)",Honey Lemon,6,20,Slim,pending,PMTA Submitted (Not Authorized as of May 2026),true,false,https://www.roguenicotine.com/products/pouches/nicotine-pouches-5-pack-honey-lemon
Rogue Mango 6mg,Rogue,"Rogue Holdings, LLC (Swisher International)",Mango,6,20,Slim,pending,PMTA Submitted (Not Authorized as of May 2026),true,false,https://www.roguenicotine.com/products/pouches/nicotine-pouches-5-pack-mango
Rogue Peppermint 6mg,Rogue,"Rogue Holdings, LLC (Swisher International)",Peppermint,6,20,Slim,pending,PMTA Submitted (Not Authorized as of May 2026),true,false,https://www.roguenicotine.com/products/pouches/nicotine-pouches-5-pack-peppermint
Rogue Wintergreen 3mg,Rogue,"Rogue Holdings, LLC (Swisher International)",Wintergreen,3,20,Slim,pending,PMTA Submitted (Not Authorized as of May 2026),true,false,https://www.roguenicotine.com/products/pouches/nicotine-pouches-5-pack-wintergreen
Rogue Wintergreen 6mg,Rogue,"Rogue Holdings, LLC (Swisher International)",Wintergreen,6,20,Slim,pending,PMTA Submitted (Not Authorized as of May 2026),true,false,https://www.roguenicotine.com/products/pouches/nicotine-pouches-5-pack-wintergreen
VELO Citrus 4mg,VELO,R.J. Reynolds Vapor / British American Tobacco (BAT),Citrus,4,20,Slim,pending,PMTA Submitted (Not Authorized as of May 2026),true,false,VELO US not in FDA authorized list as of May 2026
VELO Spearmint 7mg,VELO,R.J. Reynolds Vapor / British American Tobacco (BAT),Spearmint,7,20,Slim,pending,PMTA Submitted (Not Authorized; under FDA review as of May 2026),true,false,velo.com/us
ZYN Chill 3mg,ZYN,Swedish Match (Philip Morris International),Chill,3,15,Mini (dry),authorized,"FDA Authorized (Jan 2025, PMTA)",true,false,"FDA Press Release Jan 16, 2025"
ZYN Chill 6mg,ZYN,Swedish Match (Philip Morris International),Chill,6,15,Mini (dry),authorized,"FDA Authorized (Jan 2025, PMTA)",true,false,"FDA Press Release Jan 16, 2025"
ZYN Cinnamon 3mg,ZYN,Swedish Match (Philip Morris International),Cinnamon,3,15,Mini (dry),authorized,"FDA Authorized (Jan 2025, PMTA)",true,false,"FDA Press Release Jan 16, 2025"
ZYN Cinnamon 6mg,ZYN,Swedish Match (Philip Morris International),Cinnamon,6,15,Mini (dry),authorized,"FDA Authorized (Jan 2025, PMTA)",true,false,"FDA Press Release Jan 16, 2025"
ZYN Citrus 3mg,ZYN,Swedish Match (Philip Morris International),Citrus,3,15,Mini (dry),authorized,"FDA Authorized (Jan 2025, PMTA)",true,false,"FDA Press Release Jan 16, 2025"
ZYN Citrus 6mg,ZYN,Swedish Match (Philip Morris International),Citrus,6,15,Mini (dry),authorized,"FDA Authorized (Jan 2025, PMTA)",true,false,"FDA Press Release Jan 16, 2025"
ZYN Coffee 3mg,ZYN,Swedish Match (Philip Morris International),Coffee,3,15,Mini (dry),authorized,"FDA Authorized (Jan 2025, PMTA)",true,false,"FDA Press Release Jan 16, 2025"
ZYN Coffee 6mg,ZYN,Swedish Match (Philip Morris International),Coffee,6,15,Mini (dry),authorized,"FDA Authorized (Jan 2025, PMTA)",true,false,"FDA Press Release Jan 16, 2025"
ZYN Cool Mint 3mg,ZYN,Swedish Match (Philip Morris International),Cool Mint,3,15,Mini (dry),authorized,"FDA Authorized (Jan 2025, PMTA)",true,false,"FDA Press Release Jan 16, 2025"
ZYN Cool Mint 6mg,ZYN,Swedish Match (Philip Morris International),Cool Mint,6,15,Mini (dry),authorized,"FDA Authorized (Jan 2025, PMTA)",true,false,"FDA Press Release Jan 16, 2025"
ZYN Menthol 3mg,ZYN,Swedish Match (Philip Morris International),Menthol,3,15,Mini (dry),authorized,"FDA Authorized (Jan 2025, PMTA)",true,false,"FDA Press Release Jan 16, 2025"
ZYN Menthol 6mg,ZYN,Swedish Match (Philip Morris International),Menthol,6,15,Mini (dry),authorized,"FDA Authorized (Jan 2025, PMTA)",true,false,"FDA Press Release Jan 16, 2025"
ZYN Peppermint 3mg,ZYN,Swedish Match (Philip Morris International),Peppermint,3,15,Mini (dry),authorized,"FDA Authorized (Jan 2025, PMTA)",true,false,"FDA Press Release Jan 16, 2025"
ZYN Peppermint 6mg,ZYN,Swedish Match (Philip Morris International),Peppermint,6,15,Mini (dry),authorized,"FDA Authorized (Jan 2025, PMTA)",true,false,"FDA Press Release Jan 16, 2025"
ZYN Smooth 3mg,ZYN,Swedish Match (Philip Morris International),Smooth,3,15,Mini (dry),authorized,"FDA Authorized (Jan 2025, PMTA)",true,false,"FDA Press Release Jan 16, 2025"
ZYN Smooth 6mg,ZYN,Swedish Match (Philip Morris International),Smooth,6,15,Mini (dry),authorized,"FDA Authorized (Jan 2025, PMTA)",true,false,"FDA Press Release Jan 16, 2025"
ZYN Spearmint 3mg,ZYN,Swedish Match (Philip Morris International),Spearmint,3,15,Mini (dry),authorized,"FDA Authorized (Jan 2025, PMTA)",true,false,"FDA Press Release Jan 16, 2025"
ZYN Spearmint 6mg,ZYN,Swedish Match (Philip Morris International),Spearmint,6,15,Mini (dry),authorized,"FDA Authorized (Jan 2025, PMTA)",true,false,"FDA Press Release Jan 16, 2025"
ZYN Ultra Chill 9mg,ZYN,Swedish Match (Philip Morris International),Chill,9,20,,authorized,"FDA Authorized (Aug 2026, PMTA)",true,false,"FDA authorized nicotine pouch list, current as of 2026-08-21 (verbatim entry: 'ZYN ULTRA Chill 9 mg'). Specs from "
ZYN Ultra Citrus 9mg,ZYN,Swedish Match (Philip Morris International),Citrus,9,20,,authorized,"FDA Authorized (Aug 2026, PMTA)",true,false,"FDA authorized nicotine pouch list, current as of 2026-08-21 (verbatim entry: 'ZYN ULTRA Citrus 9 mg'). Specs from "
ZYN Ultra Cool Mint 9mg,ZYN,Swedish Match (Philip Morris International),Cool Mint,9,20,,authorized,"FDA Authorized (Aug 2026, PMTA)",true,false,"FDA authorized nicotine pouch list, current as of 2026-08-21 (verbatim entry: 'ZYN ULTRA Cool Mint 9 mg'). Specs from "
ZYN Ultra Deep Freeze 9mg,ZYN,Swedish Match (Philip Morris International),Deep Freeze,9,20,,authorized,"FDA Authorized (Aug 2026, PMTA)",true,false,"FDA authorized nicotine pouch list, current as of 2026-08-21 (verbatim entry: 'ZYN ULTRA Deep Freeze 9 mg'). Specs from "
ZYN Ultra Menthol 9mg,ZYN,Swedish Match (Philip Morris International),Menthol,9,20,,authorized,"FDA Authorized (Aug 2026, PMTA)",true,false,"FDA authorized nicotine pouch list, current as of 2026-08-21 (verbatim entry: 'ZYN ULTRA Menthol 9 mg'). Specs from "
ZYN Ultra Peppermint 9mg,ZYN,Swedish Match (Philip Morris International),Peppermint,9,20,,authorized,"FDA Authorized (Aug 2026, PMTA)",true,false,"FDA authorized nicotine pouch list, current as of 2026-08-21 (verbatim entry: 'ZYN ULTRA Peppermint 9 mg'). Specs from "
ZYN Ultra Smooth 11mg,ZYN,Swedish Match (Philip Morris International),Smooth,11,20,,authorized,"FDA Authorized (Aug 2026, PMTA)",true,false,"FDA authorized nicotine pouch list, current as of 2026-08-21 (verbatim entry: 'ZYN ULTRA Smooth 11 mg' — the only 11 mg Ultra product on the authorized list). Specs from "
ZYN Ultra Smooth 9mg,ZYN,Swedish Match (Philip Morris International),Smooth,9,20,,authorized,"FDA Authorized (Aug 2026, PMTA)",true,false,"FDA authorized nicotine pouch list, current as of 2026-08-21 (verbatim entry: 'ZYN ULTRA Smooth 9 mg'). Specs from "
ZYN Ultra Spearmint 9mg,ZYN,Swedish Match (Philip Morris International),Spearmint,9,20,,authorized,"FDA Authorized (Aug 2026, PMTA)",true,false,"FDA authorized nicotine pouch list, current as of 2026-08-21 (verbatim entry: 'ZYN ULTRA Spearmint 9 mg'). Specs from "
ZYN Ultra Wintergreen 9mg,ZYN,Swedish Match (Philip Morris International),Wintergreen,9,20,,authorized,"FDA Authorized (Aug 2026, PMTA)",true,false,"FDA authorized nicotine pouch list, current as of 2026-08-21 (verbatim entry: 'ZYN ULTRA Wintergreen 9 mg'). Specs from "
ZYN Ultra Wintergreen Chill 9mg,ZYN,Swedish Match (Philip Morris International),Wintergreen Chill,9,20,,authorized,"FDA Authorized (Aug 2026, PMTA)",true,false,"FDA authorized nicotine pouch list, current as of 2026-08-21 (verbatim entry: 'ZYN ULTRA Wintergreen Chill 9 mg'). Specs from "
ZYN Wintergreen 3mg,ZYN,Swedish Match (Philip Morris International),Wintergreen,3,15,Mini (dry),authorized,"FDA Authorized (Jan 2025, PMTA)",true,false,"FDA Press Release Jan 16, 2025"
ZYN Wintergreen 6mg,ZYN,Swedish Match (Philip Morris International),Wintergreen,6,15,Mini (dry),authorized,"FDA Authorized (Jan 2025, PMTA)",true,false,"FDA Press Release Jan 16, 2025"
